[INFO ] [2022-02-21 00:14:49,651] Pre-condition: Step 1 - Open browser 'chrome' navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2022-02-21 00:14:53,321] Pre-condition: Step 2 - Open register page
[INFO ] [2022-02-21 00:14:54,181] Test_01_Register_With_Empty_Data: Click on register button
[INFO ] [2022-02-21 00:14:54,377] Test_01_Register_With_Empty_Data: Verify error message is dispaled in firstname field
[INFO ] [2022-02-21 00:14:54,465]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-02-21 00:14:54,467] Test_01_Register_With_Empty_Data: Verify error message is dispaled in lastname field
[INFO ] [2022-02-21 00:14:54,540]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-02-21 00:14:54,540] Test_01_Register_With_Empty_Data: Verify error message is dispaled in email field
[INFO ] [2022-02-21 00:14:54,605]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-02-21 00:14:54,605] Test_01_Register_With_Empty_Data: Verify error message is dispaled in password field
[INFO ] [2022-02-21 00:14:54,668]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-02-21 00:14:54,668] Test_01_Register_With_Empty_Data: Verify error message is dispaled in confirm password field
[INFO ] [2022-02-21 00:14:54,730]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-02-21 00:14:54,859] Test_02_Register_With_Invalid_Email: Click on register button in header
[INFO ] [2022-02-21 00:14:55,473] Test_02_Register_With_Invalid_Email: Check to female gender
[INFO ] [2022-02-21 00:14:55,611] Test_02_Register_With_Invalid_Email: Input firstname
[INFO ] [2022-02-21 00:14:55,751] Test_02_Register_With_Invalid_Email: Input lastname
[INFO ] [2022-02-21 00:14:55,869] Test_02_Register_With_Invalid_Email: Select day
[INFO ] [2022-02-21 00:14:55,995] Test_02_Register_With_Invalid_Email: Select month
[INFO ] [2022-02-21 00:14:56,111] Test_02_Register_With_Invalid_Email: Select year
[INFO ] [2022-02-21 00:14:56,220] Test_02_Register_With_Invalid_Email: Input invalid email123test
